"subject_num","picture","ans","correct"
48,"Q2.Isr_unedited_3",1,0
48,"Q2.af_unedited_1",2,0
49,"Q2.af_edited_hu_1",2,1
49,"Q2.Isr_unedited_1",1,0
49,"Q2.as_unedited_1",1,0
51,"Q2.na_edited_hu_1",2,1
51,"Q2.sa_edited_ob_1",2,1
51,"Q2.isr_edited_hu_2",1,1
52,"Q2.Isr_edited_ob_5",1,1
52,"Q2.as_edited_ob_1",2,1
52,"Q2.isr_edited_hu_1",2,1
52,"Q2.Isr_unedited_3",1,0
52,"Q2.af_unedited_1",1,0
53,"Q2.na_edited_hu_1",1,1
53,"Q2.sa_edited_ob_1",1,1
53,"Q2.Isr_unedited_1",1,0
53,"Q2.as_unedited_1",1,0
54,"Q2.Isr_edited_ob_5",1,1
54,"Q2.af_edited_hu_1",2,1
55,"Q2.Isr_edited_ob_6",2,1
55,"Q2.af_edited_hu_1",2,1
55,"Q2.sa_edited_ob_1",2,1
55,"Q2.isr_edited_hu_1",2,1
55,"Q2.Isr_unedited_1",1,0
56,"Q2.Isr_edited_ob_5",2,1
56,"Q2.Isr_unedited_3",2,0
57,"Q2.Isr_edited_ob_6",2,1
57,"Q2.isr_edited_hu_1",1,1
57,"Q2.Isr_unedited_2",2,0
58,"Q2.na_edited_hu_1",2,1
58,"Q2.as_edited_ob_1",1,1
58,"Q2.isr_edited_hu_2",2,1
58,"Q2.sa_unedited_1",2,0
58,"Q2.af_unedited_1",2,0
59,"Q2.Isr_edited_ob_6",1,1
59,"Q2.isr_edited_hu_2",1,1
59,"Q2.Isr_unedited_2",1,0
59,"Q2.as_unedited_1",1,0
59,"Q2.na_unedited_1",1,0
60,"Q2.na_edited_hu_1",2,1
60,"Q2.isr_edited_hu_2",2,1
60,"Q2.Isr_unedited_1",2,0
60,"Q2.as_unedited_1",2,0
60,"Q2.na_unedited_1",1,0
61,"Q2.Isr_edited_ob_5",1,1
61,"Q2.na_edited_hu_1",2,1
61,"Q2.sa_edited_ob_1",2,1
61,"Q2.isr_edited_hu_1",2,1
62,"Q2.na_edited_hu_1",2,1
62,"Q2.sa_edited_ob_1",1,1
62,"Q2.isr_edited_hu_1",2,1
62,"Q2.sa_unedited_1",2,0
63,"Q2.Isr_edited_ob_6",1,1
63,"Q2.af_edited_hu_1",2,1
63,"Q2.isr_edited_hu_2",2,1
63,"Q2.Isr_unedited_2",1,0
63,"Q2.sa_unedited_1",2,0
64,"Q2.Isr_edited_ob_5",2,1
64,"Q2.sa_edited_ob_1",1,1
64,"Q2.isr_edited_hu_2",1,1
64,"Q2.as_unedited_1",1,0
64,"Q2.af_unedited_1",1,0
65,"Q2.na_edited_hu_1",2,1
65,"Q2.isr_edited_hu_2",2,1
65,"Q2.Isr_unedited_2",2,0
66,"Q2.na_edited_hu_1",2,1
66,"Q2.as_edited_ob_1",2,1
66,"Q2.isr_edited_hu_1",2,1
66,"Q2.Isr_unedited_1",2,0
67,"Q2.na_edited_hu_1",2,1
67,"Q2.as_edited_ob_1",2,1
67,"Q2.Isr_unedited_3",2,0
68,"Q2.Isr_edited_ob_5",2,1
68,"Q2.af_edited_hu_1",2,1
68,"Q2.sa_edited_ob_1",2,1
68,"Q2.isr_edited_hu_1",2,1
69,"Q2.na_edited_hu_1",2,1
69,"Q2.as_edited_ob_1",1,1
69,"Q2.isr_edited_hu_2",2,1
69,"Q2.Isr_unedited_2",2,0
69,"Q2.sa_unedited_1",2,0
69,"Q2.Isr_unedited_3",2,0
70,"Q2.af_edited_hu_1",2,1
70,"Q2.isr_edited_hu_1",2,1
70,"Q2.Isr_unedited_2",1,0
70,"Q2.Isr_unedited_3",2,0
71,"Q2.Isr_edited_ob_5",1,1
71,"Q2.af_edited_hu_1",1,1
71,"Q2.isr_edited_hu_1",1,1
71,"Q2.Isr_unedited_2",2,0
71,"Q2.as_unedited_1",1,0
71,"Q2.Isr_unedited_4",2,0
