exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
291,73,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,4,1,1
292,74,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
293,74,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
294,74,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,2,0.5,1
295,74,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
296,75,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
297,75,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,2,0.5,1
298,75,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
299,75,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
300,76,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,2,0.5,1
301,76,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
302,76,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
303,76,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
304,77,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,3,0.75,1
305,77,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
306,77,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
307,77,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,1,0.25,1
308,78,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
309,78,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,2,0.5,1
310,78,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
311,78,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
312,79,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
313,79,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,2,0.5,1
314,79,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
315,79,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
316,80,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
317,80,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
318,80,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
