exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
262,66,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
263,66,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
264,67,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
265,67,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
266,67,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
267,67,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,2,0.5,1
268,68,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
269,68,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
270,68,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
271,68,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
272,69,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
273,69,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
274,69,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
275,69,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
276,70,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
277,70,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
278,70,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
279,70,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
280,71,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
281,71,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
282,71,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,2,0.5,1
283,71,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
284,72,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
285,72,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
286,72,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
287,72,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
288,73,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
289,73,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
290,73,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
